Algorithm name,Time,Unassigned events,Unassigned courses,Unassigned seminars/labs
Room only coloring,9046,72,19,53
Room only coloring,9980,72,19,53
Room only coloring,9411,72,19,53
Room only coloring,9687,72,19,53
Room only coloring,9332,72,19,53
Room only coloring,8976,72,19,53
Room only coloring,9600,72,19,53
Room only coloring,9831,72,19,53
Room only coloring,8957,72,19,53
Room only coloring,8950,72,19,53
Interval room coloring - Greedy,676,14,9,5
Interval room coloring - Greedy,473,17,9,8
Interval room coloring - Greedy,426,16,7,9
Interval room coloring - Greedy,417,13,8,5
Interval room coloring - Greedy,416,17,10,7
Interval room coloring - Greedy,368,15,8,7
Interval room coloring - Greedy,391,16,9,7
Interval room coloring - Greedy,403,17,11,6
Interval room coloring - Greedy,385,17,9,8
Interval room coloring - Greedy,369,16,10,6
Interval room coloring - DSatur,1565,32,19,13
Interval room coloring - DSatur,855,29,18,11
Interval room coloring - DSatur,637,29,17,12
Interval room coloring - DSatur,690,27,15,12
Interval room coloring - DSatur,600,33,21,12
Interval room coloring - DSatur,573,31,18,13
Interval room coloring - DSatur,588,27,15,12
Interval room coloring - DSatur,587,30,19,11
Interval room coloring - DSatur,601,31,19,12
Interval room coloring - DSatur,625,28,16,12
Interval coloring two step (Greedy + Hopcroft-Karp),305,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),191,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),156,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),138,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),148,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),129,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),147,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),136,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),144,120,44,76
Interval coloring two step (Greedy + Hopcroft-Karp),157,120,44,76
Interval coloring two step modified DSatur,1068,24,18,6
Interval coloring two step modified DSatur,1157,23,15,8
Interval coloring two step modified DSatur,982,30,20,10
Interval coloring two step modified DSatur,912,30,23,7
Interval coloring two step modified DSatur,983,20,15,5
Interval coloring two step modified DSatur,886,32,22,10
Interval coloring two step modified DSatur,962,32,23,9
Interval coloring two step modified DSatur,944,23,16,7
Interval coloring two step modified DSatur,954,22,17,5
Interval coloring two step modified DSatur,1057,22,16,6
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,10134,89,32,57
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,12455,93,34,59
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,9854,105,36,69
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,9996,89,33,56
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,9972,90,32,58
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,10832,101,37,64
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,11395,87,36,51
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,9767,86,25,61
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,10885,88,33,55
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,10167,93,26,67
Interval coloring two step modified DSatur + PartialCol,7350,11,5,6
Interval coloring two step modified DSatur + PartialCol,6745,22,16,6
Interval coloring two step modified DSatur + PartialCol,7404,19,15,4
Interval coloring two step modified DSatur + PartialCol,5566,13,6,7
Interval coloring two step modified DSatur + PartialCol,6872,18,11,7
Interval coloring two step modified DSatur + PartialCol,7928,15,10,5
Interval coloring two step modified DSatur + PartialCol,7632,18,8,10
Interval coloring two step modified DSatur + PartialCol,6923,16,10,6
Interval coloring two step modified DSatur + PartialCol,5309,14,10,4
Interval coloring two step modified DSatur + PartialCol,5301,16,14,2
