Algorithm name,Time,Unassigned events,Unassigned courses,Unassigned seminars/labs
Room only coloring,9585,73,18,55
Room only coloring,9328,73,18,55
Room only coloring,9330,73,18,55
Room only coloring,9674,73,18,55
Room only coloring,9403,73,18,55
Room only coloring,9673,73,18,55
Room only coloring,9958,73,18,55
Room only coloring,9395,73,18,55
Room only coloring,9701,73,18,55
Room only coloring,9683,73,18,55
Interval room coloring - Greedy,1827,3,0,3
Interval room coloring - Greedy,1548,3,0,3
Interval room coloring - Greedy,1518,3,0,3
Interval room coloring - Greedy,1735,3,0,3
Interval room coloring - Greedy,1754,3,0,3
Interval room coloring - Greedy,1610,3,0,3
Interval room coloring - Greedy,1803,3,0,3
Interval room coloring - Greedy,1680,3,0,3
Interval room coloring - Greedy,1755,3,0,3
Interval room coloring - Greedy,1609,3,0,3
Interval room coloring - DSatur,1965,28,15,13
Interval room coloring - DSatur,1790,28,15,13
Interval room coloring - DSatur,1868,28,15,13
Interval room coloring - DSatur,1854,28,15,13
Interval room coloring - DSatur,1918,28,15,13
Interval room coloring - DSatur,1805,28,15,13
Interval room coloring - DSatur,2030,28,15,13
Interval room coloring - DSatur,1720,28,15,13
Interval room coloring - DSatur,1826,28,15,13
Interval room coloring - DSatur,1973,28,15,13
Interval coloring two step (Greedy + Hopcroft-Karp),179,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),137,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),135,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),160,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),136,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),143,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),146,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),134,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),138,209,50,159
Interval coloring two step (Greedy + Hopcroft-Karp),212,209,50,159
Interval coloring two step modified DSatur,948,12,12,0
Interval coloring two step modified DSatur,966,9,9,0
Interval coloring two step modified DSatur,974,16,15,1
Interval coloring two step modified DSatur,1048,13,13,0
Interval coloring two step modified DSatur,1004,13,12,1
Interval coloring two step modified DSatur,1012,15,15,0
Interval coloring two step modified DSatur,1040,10,9,1
Interval coloring two step modified DSatur,937,16,14,2
Interval coloring two step modified DSatur,1011,15,14,1
Interval coloring two step modified DSatur,1091,11,11,0
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,91467,196,48,148
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,68265,193,47,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,58001,192,46,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,70617,189,43,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,81447,190,44,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,71504,190,44,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,88401,194,48,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,86664,191,45,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,85189,190,44,146
Interval coloring two step (Greedy + Hopcroft-Karp) + PartialCol,69056,190,44,146
Interval coloring two step modified DSatur + PartialCol,2604,0,0,0
Interval coloring two step modified DSatur + PartialCol,2640,0,0,0
Interval coloring two step modified DSatur + PartialCol,2688,1,0,1
Interval coloring two step modified DSatur + PartialCol,3111,0,0,0
Interval coloring two step modified DSatur + PartialCol,3024,1,1,0
Interval coloring two step modified DSatur + PartialCol,2765,0,0,0
Interval coloring two step modified DSatur + PartialCol,2726,15,3,12
Interval coloring two step modified DSatur + PartialCol,2885,1,1,0
Interval coloring two step modified DSatur + PartialCol,2849,1,0,1
Interval coloring two step modified DSatur + PartialCol,3391,1,1,0
